iba_from,iba_to,individuals,species,longitude_from,latitude_from,area_from,longitude_to,latitude_to,area_to
BE017,NL051,26,Anas clypeata,4.9333,51.1833,91,4.8333,51.7667,9050
BE017,FR051,18,Anas clypeata,4.9333,51.1833,91,1.7,50.2667,5550
DK110,DK111,13,Anas clypeata,12.8333,55.6667,7240,12.5333,55.5833,6210
BE017,FR239,12,Anas clypeata,4.9333,51.1833,91,4.6,43.5167,76500
BE017,NL076,10,Anas clypeata,4.9333,51.1833,91,4.7833,52.15,2000
BE017,FR045,9,Anas clypeata,4.9333,51.1833,91,0.3,49.4333,21100
FR051,LV018,8,Anas clypeata,1.7,50.2667,5550,23.1833,57.2333,120000
NL038,NL068,7,Anas clypeata,5.25,52.5333,69700,4.85,52.5667,2040
BE017,NL096,7,Anas clypeata,4.9333,51.1833,91,5.1,51.65,4090
FR045,LV018,6,Anas clypeata,0.3,49.4333,21100,23.1833,57.2333,120000
FR234,LV018,6,Anas clypeata,4.3,43.6333,19300,23.1833,57.2333,120000
FR051,UK001,5,Anas clypeata,1.7,50.2667,5550,0.86416,51.8251,716
FR239,LV018,5,Anas clypeata,4.6,43.5167,76500,23.1833,57.2333,120000
NL044,NL068,5,Anas clypeata,5.2,52.3167,2670,4.85,52.5667,2040
BE017,NL025,5,Anas clypeata,4.9333,51.1833,91,4.5,51.7,4300
FR051,NL044,4,Anas clypeata,1.7,50.2667,5550,5.2,52.3167,2670
BE017,DE063,4,Anas clypeata,4.9333,51.1833,91,7.33333,53.3166,2080
UK001,UK040,4,Anas clypeata,0.86416,51.8251,716,0.66433,51.3996,4668
FR239,NL096,4,Anas clypeata,4.6,43.5167,76500,5.1,51.65,4090
LV004,LV018,4,Anas clypeata,21.05,56.45,4818,23.1833,57.2333,120000
BE017,FR033,4,Anas clypeata,4.9333,51.1833,91,-1,46.3333,77900
FR060,LV018,4,Anas clypeata,1.6,50.25,18200,23.1833,57.2333,120000
BE017,FR235,4,Anas clypeata,4.9333,51.1833,91,4.2667,43.5167,21000
BE017,NL068,4,Anas clypeata,4.9333,51.1833,91,4.85,52.5667,2040
BE017,NL071,4,Anas clypeata,4.9333,51.1833,91,4.9333,52.45,1960
DK008,LV018,3,Anas clypeata,9.1667,57.0333,1660,23.1833,57.2333,120000
BE017,NL107,3,Anas clypeata,4.9333,51.1833,91,6.1333,52.4,11780
FR220,LV018,3,Anas clypeata,3.9667,43.5333,12700,23.1833,57.2333,120000
BE017,NL039,3,Anas clypeata,4.9333,51.1833,91,5.75,52.6,3900
FR033,LV018,3,Anas clypeata,-1,46.3333,77900,23.1833,57.2333,120000
BE017,NL038,3,Anas clypeata,4.9333,51.1833,91,5.25,52.5333,69700
FR023,LV018,3,Anas clypeata,-1.8167,47.2667,21400,23.1833,57.2333,120000
NL038,NL071,3,Anas clypeata,5.25,52.5333,69700,4.9333,52.45,1960
FI028,FR051,3,Anas clypeata,25.1667,64.9167,81781,1.7,50.2667,5550
DK111,FR051,3,Anas clypeata,12.5333,55.5833,6210,1.7,50.2667,5550
UK002,UK016,3,Anas clypeata,1.55616,52.0045,2520,1.34416,52.0423,977
BE017,FR061,3,Anas clypeata,4.9333,51.1833,91,3.4333,50.4333,11150
NL076,NL079,3,Anas clypeata,4.7833,52.15,2000,4.8,51.9,180
FR051,NL038,3,Anas clypeata,1.7,50.2667,5550,5.25,52.5333,69700
NL039,UK001,3,Anas clypeata,5.75,52.6,3900,0.86416,51.8251,716
NL013,NL038,3,Anas clypeata,4.7667,52.9167,6000,5.25,52.5333,69700
UK001,UK042,3,Anas clypeata,0.86416,51.8251,716,0.9595,51.6721,22856
NL038,NL092,3,Anas clypeata,5.25,52.5333,69700,4.6667,52.7,2500
FR235,PL032,3,Anas clypeata,4.2667,43.5167,21000,14.7167,52.5667,4244
NL080,NL094,3,Anas clypeata,5.0667,51.8667,610,5.8333,52.1667,91800
FR045,PL032,3,Anas clypeata,0.3,49.4333,21100,14.7167,52.5667,4244
BE017,NL094,3,Anas clypeata,4.9333,51.1833,91,5.8333,52.1667,91800
ES148,UK001,3,Anas clypeata,0.7333,40.7167,32000,0.86416,51.8251,716
FR051,NL096,3,Anas clypeata,1.7,50.2667,5550,5.1,51.65,4090
BE017,NL001,3,Anas clypeata,4.9333,51.1833,91,5.3833,53.3,272100
NL078,NL080,3,Anas clypeata,5,51.95,140,5.0667,51.8667,610
BE017,LV004,3,Anas clypeata,4.9333,51.1833,91,21.05,56.45,4818
NL001,NL038,3,Anas clypeata,5.3833,53.3,272100,5.25,52.5333,69700
NL044,NL073,3,Anas clypeata,5.2,52.3167,2670,5.0833,52.2167,7040
BE017,FR101,3,Anas clypeata,4.9333,51.1833,91,-1,45.95,5400
FI028,FR239,2,Anas clypeata,25.1667,64.9167,81781,4.6,43.5167,76500
BE017,NL077,2,Anas clypeata,4.9333,51.1833,91,4.7833,52.05,1650
BE001,BE003,2,Anas clypeata,2.75,51.2,17000,2.8333,51,5100
BE017,DE107,2,Anas clypeata,4.9333,51.1833,91,9.16666,53.85,19310
UK001,UK268,2,Anas clypeata,0.86416,51.8251,716,-3.4096,55.7576,50
BE017,FR025,2,Anas clypeata,4.9333,51.1833,91,-1.9167,46.9,47000
FR032,UK001,2,Anas clypeata,-0.8167,46.4333,18700,0.86416,51.8251,716
BE017,FR159,2,Anas clypeata,4.9333,51.1833,91,5.0167,46.0333,79800
FR051,PL032,2,Anas clypeata,1.7,50.2667,5550,14.7167,52.5667,4244
BE017,FR034,2,Anas clypeata,4.9333,51.1833,91,-0.95,49.4,2300
DE289,UK001,2,Anas clypeata,8.81666,54.4833,441000,0.86416,51.8251,716
BE017,BE030,2,Anas clypeata,4.9333,51.1833,91,3.7333,50.4833,13715
DE091,FI028,2,Anas clypeata,7.25,53.4833,2625,25.1667,64.9167,81781
BE017,FR245,2,Anas clypeata,4.9333,51.1833,91,4.8,43.4833,5650
BE005,FR051,2,Anas clypeata,3.2167,51.25,9349,1.7,50.2667,5550
BE017,PT026,2,Anas clypeata,4.9333,51.1833,91,-7.2,39.0333,5049
UK001,UK010,2,Anas clypeata,0.86416,51.8251,716,1.63133,52.5845,2091
FR101,NL038,2,Anas clypeata,-1,45.95,5400,5.25,52.5333,69700
DE160,LV018,2,Anas clypeata,6.4,51.7666,48295,23.1833,57.2333,120000
NL051,NL096,2,Anas clypeata,4.8333,51.7667,9050,5.1,51.65,4090
