iba_from,iba_to,individuals,species,longitude_from,latitude_from,area_from,longitude_to,latitude_to,area_to
DE288,DE304,113,Thalasseus sandvicensis,11.4333,54.0166,102030,12.9,54.4333,203810
DK023,DK038,42,Thalasseus sandvicensis,8.25,56.75,5490,8.2333,56.35,10890
DK011,SE061,28,Thalasseus sandvicensis,10.6333,57.4833,220,12.9167,55.4167,20000
DE304,SE061,27,Thalasseus sandvicensis,12.9,54.4333,203810,12.9167,55.4167,20000
DE304,DK089,26,Thalasseus sandvicensis,12.9,54.4333,203810,12.25,55.0833,24640
DK038,DK043,23,Thalasseus sandvicensis,8.2333,56.35,10890,8.25,56,27720
DK038,NL001,23,Thalasseus sandvicensis,8.2333,56.35,10890,5.3833,53.3,272100
DE288,DK098,21,Thalasseus sandvicensis,11.4333,54.0166,102030,11,55.3333,4920
DE288,SE061,17,Thalasseus sandvicensis,11.4333,54.0166,102030,12.9167,55.4167,20000
DK001,DK038,16,Thalasseus sandvicensis,9.5833,57.0333,18530,8.2333,56.35,10890
DK011,DK038,16,Thalasseus sandvicensis,10.6333,57.4833,220,8.2333,56.35,10890
DE304,PL013,14,Thalasseus sandvicensis,12.9,54.4333,203810,18.95,54.35,485
DE304,DK083,13,Thalasseus sandvicensis,12.9,54.4333,203810,11.7167,54.55,100000
DK111,SE061,12,Thalasseus sandvicensis,12.5333,55.5833,6210,12.9167,55.4167,20000
DK011,DK049,11,Thalasseus sandvicensis,10.6333,57.4833,220,8.3167,55.6,2700
DK089,SE061,10,Thalasseus sandvicensis,12.25,55.0833,24640,12.9167,55.4167,20000
DK075,SE061,10,Thalasseus sandvicensis,10.5667,55.5,5060,12.9167,55.4167,20000
NL001,UK049,10,Thalasseus sandvicensis,5.3833,53.3,272100,-0.8706,54.3806,143490
DE304,DK084,10,Thalasseus sandvicensis,12.9,54.4333,203810,12,54.9167,8160
NL001,NL013,10,Thalasseus sandvicensis,5.3833,53.3,272100,4.7667,52.9167,6000
DE058,NL001,10,Thalasseus sandvicensis,8.16666,53.55,235071,5.3833,53.3,272100
DK011,NL001,10,Thalasseus sandvicensis,10.6333,57.4833,220,5.3833,53.3,272100
IT071,IT072,10,Thalasseus sandvicensis,12.25,44.7833,7081,12.1667,44.6167,44013
DE304,PL012,9,Thalasseus sandvicensis,12.9,54.4333,203810,18.6167,54.5667,56000
DK001,DK007,9,Thalasseus sandvicensis,9.5833,57.0333,18530,10.2167,56.8667,7380
FR051,NL020,9,Thalasseus sandvicensis,1.7,50.2667,5550,3.5833,51.7167,107000
DK014,DK038,9,Thalasseus sandvicensis,9.1667,56.6667,7590,8.2333,56.35,10890
DK011,DK128,9,Thalasseus sandvicensis,10.6333,57.4833,220,11,57.2,580000
NL001,NL020,9,Thalasseus sandvicensis,5.3833,53.3,272100,3.5833,51.7167,107000
DE288,DK076,8,Thalasseus sandvicensis,11.4333,54.0166,102030,10.2167,55.6,13060
ES238,NL001,8,Thalasseus sandvicensis,-5.1667,37.4167,62200,5.3833,53.3,272100
DK049,NL001,8,Thalasseus sandvicensis,8.3167,55.6,2700,5.3833,53.3,272100
DE289,NL001,8,Thalasseus sandvicensis,8.81666,54.4833,441000,5.3833,53.3,272100
DK011,DK075,8,Thalasseus sandvicensis,10.6333,57.4833,220,10.5667,55.5,5060
DK011,SE045,8,Thalasseus sandvicensis,10.6333,57.4833,220,12.1,57.4,4000
DK001,DK011,8,Thalasseus sandvicensis,9.5833,57.0333,18530,10.6333,57.4833,220
DE304,NL001,7,Thalasseus sandvicensis,12.9,54.4333,203810,5.3833,53.3,272100
DK011,DK023,7,Thalasseus sandvicensis,10.6333,57.4833,220,8.25,56.75,5490
DK014,DK023,7,Thalasseus sandvicensis,9.1667,56.6667,7590,8.25,56.75,5490
DK007,DK011,7,Thalasseus sandvicensis,10.2167,56.8667,7380,10.6333,57.4833,220
NL001,NL002,6,Thalasseus sandvicensis,5.3833,53.3,272100,4.9,53.1333,1600
DE288,DK089,6,Thalasseus sandvicensis,11.4333,54.0166,102030,12.25,55.0833,24640
DK001,DK014,6,Thalasseus sandvicensis,9.5833,57.0333,18530,9.1667,56.6667,7590
DK001,DK023,6,Thalasseus sandvicensis,9.5833,57.0333,18530,8.25,56.75,5490
DE288,DK111,6,Thalasseus sandvicensis,11.4333,54.0166,102030,12.5333,55.5833,6210
DK009,DK011,6,Thalasseus sandvicensis,10.9333,57.3667,2923,10.6333,57.4833,220
NL020,NL023,5,Thalasseus sandvicensis,3.5833,51.7167,107000,4,51.8333,430
