"","Actitis_hypoleucos","Alca_torda","Anas_acuta","Anas_clypeata","Anas_crecca","Anas_penelope","Anas_platyrhynchos","Anas_querquedula","Anas_strepera","Anser_albifrons","Anser_anser","Anser_brachyrhynchus","Anser_fabalis","Ardea_cinerea","Ardea_purpurea","Arenaria_interpres","Aythya_ferina","Aythya_fuligula","Botaurus_stellaris","Branta_bernicla","Branta_canadensis","Branta_leucopsis","Bucephala_clangula","Calidris_alba","Calidris_alpina","Calidris_canutus","Calidris_ferruginea","Calidris_minuta","Cepphus_grylle","Charadrius_alexandrinus","Charadrius_dubius","Charadrius_hiaticula","Chlidonias_niger","Ciconia_ciconia","Cygnus_columbianus","Cygnus_cygnus","Cygnus_olor","Fulica_atra","Gallinago_gallinago","Gallinula_chloropus","Grus_grus","Haematopus_ostralegus","Hydroprogne_caspia","Larus_argentatus","Larus_canus","Larus_fuscus","Larus_marinus","Larus_melanocephalus","Larus_ridibundus","Limosa_lapponica","Limosa_limosa","Lymnocryptes_minimus","Mergus_merganser","Mergus_serrator","Morus_bassanus","Numenius_arquata","Numenius_phaeopus","Nycticorax_nycticorax","Phalacrocorax_aristotelis","Phalacrocorax_carbo","Philomachus_pugnax","Platalea_leucorodia","Pluvialis_apricaria","Pluvialis_squatarola","Podiceps_cristatus","Rallus_aquaticus","Recurvirostra_avosetta","Rissa_tridactyla","Scolopax_rusticola","Somateria_mollissima","Stercorarius_skua","Sterna_hirundo","Sterna_paradisaea","Sternula_albifrons","Tachybaptus_ruficollis","Tadorna_tadorna","Thalasseus_sandvicensis","Tringa_erythropus","Tringa_glareola","Tringa_nebularia","Tringa_ochropus","Tringa_totanus","Uria_aalge","Vanellus_vanellus"
"Actitis_hypoleucos",0,0.173960746929413,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.202932330014311,0.202932330014311,0.106364199476468,0.229098053156314,0.229098053156314,0.202932330014311,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.106364199476468,0.106364199476468,0.106364199476468,0.106364199476468,0.106364199476468,0.173960746929413,0.188815358181029,0.188815358181029,0.188815358181029,0.173960746929413,0.202932330014311,0.229098053156314,0.229098053156314,0.229098053156314,0.202932330014311,0.124575470629846,0.202932330014311,0.202932330014311,0.188815358181029,0.173960746929413,0.173960746929413,0.173960746929413,0.173960746929413,0.173960746929413,0.173960746929413,0.173960746929413,0.141882419803122,0.141882419803122,0.124575470629846,0.229098053156314,0.229098053156314,0.202932330014311,0.158329953155609,0.158329953155609,0.202932330014311,0.202932330014311,0.202932330014311,0.106364199476468,0.202932330014311,0.188815358181029,0.188815358181029,0.21634829158786,0.202932330014311,0.188815358181029,0.173960746929413,0.124575470629846,0.229098053156314,0.173960746929413,0.173960746929413,0.173960746929413,0.173960746929413,0.21634829158786,0.229098053156314,0.173960746929413,0.0872013537489303,0.0872013537489303,0.0872013537489303,0.0872013537489303,0.0872013537489303,0.173960746929413,0.188815358181029
"Alca_torda",0.173960746929413,0,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.202932330014311,0.202932330014311,0.173960746929413,0.229098053156314,0.229098053156314,0.202932330014311,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.173960746929413,0.173960746929413,0.173960746929413,0.173960746929413,0.173960746929413,0.045819453980146,0.188815358181029,0.188815358181029,0.188815358181029,0.141882419803122,0.202932330014311,0.229098053156314,0.229098053156314,0.229098053156314,0.202932330014311,0.173960746929413,0.202932330014311,0.202932330014311,0.188815358181029,0.141882419803122,0.141882419803122,0.141882419803122,0.141882419803122,0.141882419803122,0.141882419803122,0.141882419803122,0.173960746929413,0.173960746929413,0.173960746929413,0.229098053156314,0.229098053156314,0.202932330014311,0.173960746929413,0.173960746929413,0.202932330014311,0.202932330014311,0.202932330014311,0.173960746929413,0.202932330014311,0.188815358181029,0.188815358181029,0.21634829158786,0.202932330014311,0.188815358181029,0.141882419803122,0.173960746929413,0.229098053156314,0.067037211812615,0.141882419803122,0.141882419803122,0.141882419803122,0.21634829158786,0.229098053156314,0.141882419803122,0.173960746929413,0.173960746929413,0.173960746929413,0.173960746929413,0.173960746929413,0.0234930267580429,0.188815358181029
"Anas_acuta",0.229098053156314,0.229098053156314,0,0.0872013537489303,0.045819453980146,0.067037211812615,0.0234930267580429,0.0872013537489303,0.067037211812615,0.158329953155609,0.158329953155609,0.158329953155609,0.158329953155609,0.229098053156314,0.229098053156314,0.229098053156314,0.106364199476468,0.106364199476468,0.229098053156314,0.158329953155609,0.158329953155609,0.158329953155609,0.124575470629846,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.158329953155609,0.158329953155609,0.158329953155609,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.124575470629846,0.124575470629846,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.124575470629846,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.141882419803122,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314
"Anas_clypeata",0.229098053156314,0.229098053156314,0.0872013537489303,0,0.0872013537489303,0.0872013537489303,0.0872013537489303,0.0234930267580429,0.0872013537489303,0.158329953155609,0.158329953155609,0.158329953155609,0.158329953155609,0.229098053156314,0.229098053156314,0.229098053156314,0.106364199476468,0.106364199476468,0.229098053156314,0.158329953155609,0.158329953155609,0.158329953155609,0.124575470629846,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.158329953155609,0.158329953155609,0.158329953155609,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.124575470629846,0.124575470629846,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.124575470629846,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.141882419803122,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314
"Anas_crecca",0.229098053156314,0.229098053156314,0.045819453980146,0.0872013537489303,0,0.067037211812615,0.045819453980146,0.0872013537489303,0.067037211812615,0.158329953155609,0.158329953155609,0.158329953155609,0.158329953155609,0.229098053156314,0.229098053156314,0.229098053156314,0.106364199476468,0.106364199476468,0.229098053156314,0.158329953155609,0.158329953155609,0.158329953155609,0.124575470629846,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.158329953155609,0.158329953155609,0.158329953155609,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.124575470629846,0.124575470629846,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.124575470629846,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.141882419803122,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314
"Anas_penelope",0.229098053156314,0.229098053156314,0.067037211812615,0.0872013537489303,0.067037211812615,0,0.067037211812615,0.0872013537489303,0.0234930267580429,0.158329953155609,0.158329953155609,0.158329953155609,0.158329953155609,0.229098053156314,0.229098053156314,0.229098053156314,0.106364199476468,0.106364199476468,0.229098053156314,0.158329953155609,0.158329953155609,0.158329953155609,0.124575470629846,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.158329953155609,0.158329953155609,0.158329953155609,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.124575470629846,0.124575470629846,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.124575470629846,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.141882419803122,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314
"Anas_platyrhynchos",0.229098053156314,0.229098053156314,0.0234930267580429,0.0872013537489303,0.045819453980146,0.067037211812615,0,0.0872013537489303,0.067037211812615,0.158329953155609,0.158329953155609,0.158329953155609,0.158329953155609,0.229098053156314,0.229098053156314,0.229098053156314,0.106364199476468,0.106364199476468,0.229098053156314,0.158329953155609,0.158329953155609,0.158329953155609,0.124575470629846,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.158329953155609,0.158329953155609,0.158329953155609,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.124575470629846,0.124575470629846,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.124575470629846,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.141882419803122,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314
"Anas_querquedula",0.229098053156314,0.229098053156314,0.0872013537489303,0.0234930267580429,0.0872013537489303,0.0872013537489303,0.0872013537489303,0,0.0872013537489303,0.158329953155609,0.158329953155609,0.158329953155609,0.158329953155609,0.229098053156314,0.229098053156314,0.229098053156314,0.106364199476468,0.106364199476468,0.229098053156314,0.158329953155609,0.158329953155609,0.158329953155609,0.124575470629846,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.158329953155609,0.158329953155609,0.158329953155609,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.124575470629846,0.124575470629846,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.124575470629846,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.141882419803122,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314
"Anas_strepera",0.229098053156314,0.229098053156314,0.067037211812615,0.0872013537489303,0.067037211812615,0.0234930267580429,0.067037211812615,0.0872013537489303,0,0.158329953155609,0.158329953155609,0.158329953155609,0.158329953155609,0.229098053156314,0.229098053156314,0.229098053156314,0.106364199476468,0.106364199476468,0.229098053156314,0.158329953155609,0.158329953155609,0.158329953155609,0.124575470629846,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.158329953155609,0.158329953155609,0.158329953155609,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.124575470629846,0.124575470629846,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.124575470629846,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.141882419803122,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314
"Anser_albifrons",0.229098053156314,0.229098053156314,0.158329953155609,0.158329953155609,0.158329953155609,0.158329953155609,0.158329953155609,0.158329953155609,0.158329953155609,0,0.067037211812615,0.045819453980146,0.045819453980146,0.229098053156314,0.229098053156314,0.229098053156314,0.158329953155609,0.158329953155609,0.229098053156314,0.0872013537489302,0.0872013537489302,0.0872013537489302,0.158329953155609,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.106364199476468,0.106364199476468,0.106364199476468,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.158329953155609,0.158329953155609,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.158329953155609,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.158329953155609,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314
"Anser_anser",0.229098053156314,0.229098053156314,0.158329953155609,0.158329953155609,0.158329953155609,0.158329953155609,0.158329953155609,0.158329953155609,0.158329953155609,0.067037211812615,0,0.067037211812615,0.067037211812615,0.229098053156314,0.229098053156314,0.229098053156314,0.158329953155609,0.158329953155609,0.229098053156314,0.0872013537489303,0.0872013537489303,0.0872013537489303,0.158329953155609,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.106364199476468,0.106364199476468,0.106364199476468,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.158329953155609,0.158329953155609,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.158329953155609,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.158329953155609,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314
"Anser_brachyrhynchus",0.229098053156314,0.229098053156314,0.158329953155609,0.158329953155609,0.158329953155609,0.158329953155609,0.158329953155609,0.158329953155609,0.158329953155609,0.045819453980146,0.067037211812615,0,0.0234930267580429,0.229098053156314,0.229098053156314,0.229098053156314,0.158329953155609,0.158329953155609,0.229098053156314,0.0872013537489302,0.0872013537489302,0.0872013537489302,0.158329953155609,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.106364199476468,0.106364199476468,0.106364199476468,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.158329953155609,0.158329953155609,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.158329953155609,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.158329953155609,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314
"Anser_fabalis",0.229098053156314,0.229098053156314,0.158329953155609,0.158329953155609,0.158329953155609,0.158329953155609,0.158329953155609,0.158329953155609,0.158329953155609,0.045819453980146,0.067037211812615,0.0234930267580429,0,0.229098053156314,0.229098053156314,0.229098053156314,0.158329953155609,0.158329953155609,0.229098053156314,0.0872013537489302,0.0872013537489302,0.0872013537489302,0.158329953155609,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.106364199476468,0.106364199476468,0.106364199476468,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.158329953155609,0.158329953155609,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.158329953155609,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.158329953155609,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314
"Ardea_cinerea",0.202932330014311,0.202932330014311,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0,0.0234930267580429,0.202932330014311,0.229098053156314,0.229098053156314,0.067037211812615,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.202932330014311,0.202932330014311,0.202932330014311,0.202932330014311,0.202932330014311,0.202932330014311,0.202932330014311,0.202932330014311,0.202932330014311,0.202932330014311,0.124575470629846,0.229098053156314,0.229098053156314,0.229098053156314,0.141882419803122,0.202932330014311,0.141882419803122,0.141882419803122,0.202932330014311,0.202932330014311,0.202932330014311,0.202932330014311,0.202932330014311,0.202932330014311,0.202932330014311,0.202932330014311,0.202932330014311,0.202932330014311,0.202932330014311,0.229098053156314,0.229098053156314,0.106364199476468,0.202932330014311,0.202932330014311,0.045819453980146,0.106364199476468,0.106364199476468,0.202932330014311,0.0872013537489303,0.202932330014311,0.202932330014311,0.21634829158786,0.141882419803122,0.202932330014311,0.202932330014311,0.202932330014311,0.229098053156314,0.202932330014311,0.202932330014311,0.202932330014311,0.202932330014311,0.21634829158786,0.229098053156314,0.202932330014311,0.202932330014311,0.202932330014311,0.202932330014311,0.202932330014311,0.202932330014311,0.202932330014311,0.202932330014311
"Ardea_purpurea",0.202932330014311,0.202932330014311,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.0234930267580429,0,0.202932330014311,0.229098053156314,0.229098053156314,0.067037211812615,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.202932330014311,0.202932330014311,0.202932330014311,0.202932330014311,0.202932330014311,0.202932330014311,0.202932330014311,0.202932330014311,0.202932330014311,0.202932330014311,0.124575470629846,0.229098053156314,0.229098053156314,0.229098053156314,0.141882419803122,0.202932330014311,0.141882419803122,0.141882419803122,0.202932330014311,0.202932330014311,0.202932330014311,0.202932330014311,0.202932330014311,0.202932330014311,0.202932330014311,0.202932330014311,0.202932330014311,0.202932330014311,0.202932330014311,0.229098053156314,0.229098053156314,0.106364199476468,0.202932330014311,0.202932330014311,0.045819453980146,0.106364199476468,0.106364199476468,0.202932330014311,0.0872013537489303,0.202932330014311,0.202932330014311,0.21634829158786,0.141882419803122,0.202932330014311,0.202932330014311,0.202932330014311,0.229098053156314,0.202932330014311,0.202932330014311,0.202932330014311,0.202932330014311,0.21634829158786,0.229098053156314,0.202932330014311,0.202932330014311,0.202932330014311,0.202932330014311,0.202932330014311,0.202932330014311,0.202932330014311,0.202932330014311
